亜 a
宛 a 宛先 宛名
挨 ai 挨拶
愛 ai 恋愛 可愛い
曖 ai 曖昧
案 an 提案 案内
嵐 arashi
圧 atsu 圧縮
扱 atsuka
婆 ba 老婆
倍 bai 倍音
陪 bai 陪審
賠 bai 賠償
媒 bai 媒体
漠 baku 砂漠
爆 baku 爆発
晩 ban
番 ban
蛮 ban 野蛮
盤 ban 鍵盤
伐 batsu
閥 batsu 財閥
弁 ben 弁当
勉 ben 勉強
微 bi 微妙
敏 bin 敏感
瓶 bin 花瓶
簿 bo 帳簿
撲 boku
睦 boku 親睦
朴 boku 素朴
僕 boku
凡 bon 凡庸
盆 bon 盆栽
勃 botsu 勃起
没 botsu 沈没
貌 bou 全貌
貿 bou 貿易
棒 bou 棒状
剖 bou 解剖
某 bou 某氏
肪 bou 脂肪
坊 bou 寝坊
帽 bou 脱帽
部 bu 部分
秒 byou 秒針
嫡 chaku 嫡子
緻 chi 巧緻
稚 chi 幼稚
痴 chi 音痴
逐 chiku 逐次
畜 chiku 家畜
賃 chin 賃貸
陳 chin 陳述
朕 chin
秩 chitsu 秩序
窒 chitsu 窒息
貯 cho 貯蓄
捗 choku 進捗
勅 choku 勅使
徴 chou 特徴
腸 chou
庁 chou 県庁
帳 chou 手帳
宙 chuu 宇宙船
酎 chuu 焼酎
衷 chuu 苦衷
抽 chuu 抽象
忠 chuu 忠誠
駐 chuu 駐輪場
妥 da 妥協
堕 da 堕落
惰 da 怠惰
駄 da 駄目
第 dai
題 dai 話題
諾 daku 承諾
団 dan 団子
段 dan 値段
談 dan 冗談
壇 dan 花壇
誰 dare
電 den 充電
奴 do 奴隷
毒 doku 消毒
丼 donburi
胴 dou
堂 dou 講堂
銅 dou
英 ei 英会話
衛 ei 自衛隊
疫 eki 免疫
益 eki 収益
液 eki 血液
駅 eki 最寄り駅
宴 en 宴会
媛 en 才媛
援 en 支援
演 en 演技
悦 etsu 悦楽
謁 etsu 謁見
閲 etsu 閲覧
扶 fu 扶養
府 fu 政府
阜 fu 岐阜
附 fu 付
訃 fu 訃報
婦 fu 主婦
符 fu 切符
普 fu 普及
膚 fu 皮膚
賦 fu 賦
譜 fu 楽譜
服 fuku 洋服
副 fuku 副作用
復 fuku 復興
福 fuku 幸福
複 fuku 複雑
雰 fun 雰囲気
墳 fun 古墳
賀 ga
雅 ga
餓 ga
劾 gai
害 gai
涯 gai
慨 gai
該 gai
概 gai
骸 gai
玩 gan
頑 gan
芸 gei
劇 geki
玄 gen
舷 gen
宜 gi
義 gi
儀 gi
擬 gi
犠 gi
議 gi
吟 gin
銀 gin
午 go
呉 go
娯 go
碁 go
護 go
獄 goku
号 gou
拷 gou
剛 gou
傲 gou
豪 gou
具 gu
惧 gu
軍 gun
郡 gun
偶 guu
遇 guu
把 ha
派 ha
覇 ha
鉢 hachi
肌 hada
肺 hai
俳 hai
排 hai
輩 hai
箱 hako
伯 haku
拍 haku
舶 haku
博 haku
氾 han
汎 han
阪 han
版 han
班 han
畔 han
般 han
販 han
斑 han
搬 han
頒 han
範 han
繁 han
藩 han
箸 hashi
丙 hei
陛 hei
塀 hei
幣 hei
弊 hei
